# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 235 06/17/2009 Service Pack 2 SJ Web Edition
# File: G:\trollbook\hdl\trollbook-pins.csv
# Generated on: Thu Mar 24 01:25:19 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Reserved,Group,PCB layer
a[31],Input,PIN_63,,,,a[31..0],
a[30],Input,PIN_62,,,,a[31..0],
a[29],Input,PIN_61,,,,a[31..0],
a[28],Input,PIN_64,,,,a[31..0],
a[27],Input,PIN_65,,,,a[31..0],
a[26],Input,PIN_66,,,,a[31..0],
a[25],Input,PIN_67,,,,a[31..0],
a[24],Input,PIN_56,,,,a[31..0],
a[23],Input,PIN_55,,,,a[31..0],
a[22],Input,PIN_54,,,,a[31..0],
a[21],Input,PIN_53,,,,a[31..0],
a[20],Input,PIN_51,,,,a[31..0],
a[19],Input,PIN_50,,,,a[31..0],
a[18],Input,PIN_49,,,,a[31..0],
a[17],Input,PIN_48,,,,a[31..0],
a[16],Input,PIN_46,,,,a[31..0],
a[15],Input,PIN_45,,,,a[31..0],
a[14],Input,PIN_44,,,,a[31..0],
a[13],Input,PIN_43,,,,a[31..0],
a[12],Input,PIN_41,,,,a[31..0],
a[11],Input,PIN_40,,,,a[31..0],
a[10],Input,PIN_39,,,,a[31..0],
a[9],Input,PIN_79,,,,a[31..0],
a[8],Input,PIN_78,,,,a[31..0],
a[7],Input,PIN_76,,,,a[31..0],
a[6],Input,PIN_75,,,,a[31..0],
a[5],Input,PIN_74,,,,a[31..0],
a[4],Input,PIN_73,,,,a[31..0],
a[3],Input,PIN_72,,,,a[31..0],
a[2],Input,PIN_71,,,,a[31..0],
a[1],Input,PIN_70,,,,a[31..0],
a[0],Input,PIN_68,,,,a[31..0],
clk12,Input,PIN_211,,,,,
clk33,Input,PIN_91,,,,,
cpu_clk,Output,PIN_26,,,,,
cpu_ipl[2],Output,PIN_214,,,,cpu_ipl[2..0],
cpu_ipl[1],Output,PIN_208,,,,cpu_ipl[2..0],
cpu_ipl[0],Output,PIN_207,,,,cpu_ipl[2..0],
cpu_lfo,Output,PIN_206,,,,,
cpu_rsti,Output,PIN_215,,,,,
cpu_rsto,Input,PIN_217,,,,,
cpu_rw,Input,PIN_196,,,,,
cpu_scd,Input,PIN_204,,,,,
cpu_siz[1],Input,PIN_198,,,,cpu_siz[1..0],
cpu_siz[0],Input,PIN_195,,,,cpu_siz[1..0],
cpu_ta,Output,PIN_201,,,,,
cpu_tbi,Output,PIN_203,,,,,
cpu_tea,Output,PIN_202,,,,,
cpu_tip,Input,PIN_200,,,,,
cpu_tm[2],Input,PIN_192,,,,cpu_tm[2..0],
cpu_tm[1],Input,PIN_193,,,,cpu_tm[2..0],
cpu_tm[0],Input,PIN_194,,,,cpu_tm[2..0],
cpu_ts,Input,PIN_199,,,,,
cpu_tt[1],Input,PIN_38,,,,cpu_tt[1..0],
cpu_tt[0],Input,PIN_36,,,,cpu_tt[1..0],
d[31],Bidir,PIN_80,,,,d[31..0],
d[30],Bidir,PIN_82,,,,d[31..0],
d[29],Bidir,PIN_84,,,,d[31..0],
d[28],Bidir,PIN_87,,,,d[31..0],
d[27],Bidir,PIN_94,,,,d[31..0],
d[26],Bidir,PIN_97,,,,d[31..0],
d[25],Bidir,PIN_99,,,,d[31..0],
d[24],Bidir,PIN_101,,,,d[31..0],
d[23],Bidir,PIN_102,,,,d[31..0],
d[22],Bidir,PIN_100,,,,d[31..0],
d[21],Bidir,PIN_98,,,,d[31..0],
d[20],Bidir,PIN_95,,,,d[31..0],
d[19],Bidir,PIN_88,,,,d[31..0],
d[18],Bidir,PIN_86,,,,d[31..0],
d[17],Bidir,PIN_83,,,,d[31..0],
d[16],Bidir,PIN_81,,,,d[31..0],
d[15],Bidir,PIN_103,,,,d[31..0],
d[14],Bidir,PIN_106,,,,d[31..0],
d[13],Bidir,PIN_108,,,,d[31..0],
d[12],Bidir,PIN_110,,,,d[31..0],
d[11],Bidir,PIN_113,,,,d[31..0],
d[10],Bidir,PIN_115,,,,d[31..0],
d[9],Bidir,PIN_117,,,,d[31..0],
d[8],Bidir,PIN_119,,,,d[31..0],
d[7],Bidir,PIN_120,,,,d[31..0],
d[6],Bidir,PIN_118,,,,d[31..0],
d[5],Bidir,PIN_116,,,,d[31..0],
d[4],Bidir,PIN_114,,,,d[31..0],
d[3],Bidir,PIN_111,,,,d[31..0],
d[2],Bidir,PIN_109,,,,d[31..0],
d[1],Bidir,PIN_107,,,,d[31..0],
d[0],Bidir,PIN_105,,,,d[31..0],
ext_int[3],Input,PIN_212,,,,ext_int[3..0],
ext_int[2],Input,PIN_210,,,,ext_int[3..0],
ext_int[1],Input,PIN_92,,,,ext_int[3..0],
ext_int[0],Input,PIN_90,,,,ext_int[3..0],
ll_a[18],Output,PIN_25,,,,ll_a[18..1],
ll_a[17],Output,PIN_24,,,,ll_a[18..1],
ll_a[16],Output,PIN_21,,,,ll_a[18..1],
ll_a[15],Output,PIN_30,,,,ll_a[18..1],
ll_a[14],Output,PIN_31,,,,ll_a[18..1],
ll_a[13],Output,PIN_33,,,,ll_a[18..1],
ll_a[12],Output,PIN_34,,,,ll_a[18..1],
ll_a[11],Output,PIN_35,,,,ll_a[18..1],
ll_a[10],Output,PIN_8,,,,ll_a[18..1],
ll_a[9],Output,PIN_7,,,,ll_a[18..1],
ll_a[8],Output,PIN_6,,,,ll_a[18..1],
ll_a[7],Output,PIN_218,,,,ll_a[18..1],
ll_a[6],Output,PIN_219,,,,ll_a[18..1],
ll_a[5],Output,PIN_231,,,,ll_a[18..1],
ll_a[4],Output,PIN_233,,,,ll_a[18..1],
ll_a[3],Output,PIN_234,,,,ll_a[18..1],
ll_a[2],Output,PIN_235,,,,ll_a[18..1],
ll_a[1],Output,PIN_237,,,,ll_a[18..1],
ll_ce,Output,PIN_230,,,,,
ll_d[15],Bidir,PIN_17,,,,ll_d[15..0],
ll_d[14],Bidir,PIN_15,,,,ll_d[15..0],
ll_d[13],Bidir,PIN_14,,,,ll_d[15..0],
ll_d[12],Bidir,PIN_13,,,,ll_d[15..0],
ll_d[11],Bidir,PIN_12,,,,ll_d[15..0],
ll_d[10],Bidir,PIN_9,,,,ll_d[15..0],
ll_d[9],Bidir,PIN_28,,,,ll_d[15..0],
ll_d[8],Bidir,PIN_29,,,,ll_d[15..0],
ll_d[7],Bidir,PIN_221,,,,ll_d[15..0],
ll_d[6],Bidir,PIN_222,,,,ll_d[15..0],
ll_d[5],Bidir,PIN_223,,,,ll_d[15..0],
ll_d[4],Bidir,PIN_225,,,,ll_d[15..0],
ll_d[3],Bidir,PIN_226,,,,ll_d[15..0],
ll_d[2],Bidir,PIN_227,,,,ll_d[15..0],
ll_d[1],Bidir,PIN_228,,,,ll_d[15..0],
ll_d[0],Bidir,PIN_229,,,,ll_d[15..0],
ll_lb,Output,PIN_18,,,,,
ll_oe,Output,PIN_20,,,,,
ll_ub,Output,PIN_19,,,,,
ll_we,Output,PIN_220,,,,,
pwron_reset,Input,PIN_209,,,,,
ram_a[12],Output,PIN_134,,,,ram_a[12..0],
ram_a[11],Output,PIN_137,,,,ram_a[12..0],
ram_a[10],Output,PIN_143,,,,ram_a[12..0],
ram_a[9],Output,PIN_139,,,,ram_a[12..0],
ram_a[8],Output,PIN_142,,,,ram_a[12..0],
ram_a[7],Output,PIN_144,,,,ram_a[12..0],
ram_a[6],Output,PIN_147,,,,ram_a[12..0],
ram_a[5],Output,PIN_149,,,,ram_a[12..0],
ram_a[4],Output,PIN_152,,,,ram_a[12..0],
ram_a[3],Output,PIN_153,,,,ram_a[12..0],
ram_a[2],Output,PIN_151,,,,ram_a[12..0],
ram_a[1],Output,PIN_148,,,,ram_a[12..0],
ram_a[0],Output,PIN_146,,,,ram_a[12..0],
ram_b[1],Output,PIN_141,,,,ram_b[1..0],
ram_b[0],Output,PIN_138,,,,ram_b[1..0],
ram_cas,Output,PIN_128,,,,,
ram_cke,Output,PIN_126,,,,,
ram_cs[1],Output,PIN_156,,,,ram_cs[1..0],
ram_cs[0],Output,PIN_136,,,,ram_cs[1..0],
ram_ldqm[1],Output,PIN_157,,,,ram_ldqm[1..0],
ram_ldqm[0],Output,PIN_132,,,,ram_ldqm[1..0],
ram_ras,Output,PIN_133,,,,,
ram_udqm[1],Output,PIN_154,,,,ram_udqm[1..0],
ram_udqm[0],Output,PIN_129,,,,ram_udqm[1..0],
ram_we,Output,PIN_131,,,,,
snd_clk,Output,PIN_11,,,,,
snd_mosi,Output,PIN_238,,,,,
snd_ss,Output,PIN_236,,,,,
snd_sync,Output,PIN_213,,,,,
spi_clk,Output,PIN_188,,,,,
spi_miso,Input,PIN_186,,,,,
spi_mosi,Output,PIN_190,,,,,
spi_ss[2],Output,PIN_182,,,,spi_ss[2..0],
spi_ss[1],Output,PIN_183,,,,spi_ss[2..0],
spi_ss[0],Output,PIN_185,,,,spi_ss[2..0],
uart_rx,Input,PIN_240,,,,,
uart_tx,Output,PIN_239,,,,,
vga_b[4],Output,PIN_161,,,,vga_b[4..0],
vga_b[3],Output,PIN_162,,,,vga_b[4..0],
vga_b[2],Output,PIN_163,,,,vga_b[4..0],
vga_b[1],Output,PIN_164,,,,vga_b[4..0],
vga_b[0],Output,PIN_166,,,,vga_b[4..0],
vga_den,Output,PIN_127,,,,,
vga_g[5],Output,PIN_167,,,,vga_g[5..0],
vga_g[4],Output,PIN_168,,,,vga_g[5..0],
vga_g[3],Output,PIN_169,,,,vga_g[5..0],
vga_g[2],Output,PIN_171,,,,vga_g[5..0],
vga_g[1],Output,PIN_172,,,,vga_g[5..0],
vga_g[0],Output,PIN_173,,,,vga_g[5..0],
vga_hsync,Output,PIN_159,,,,,
vga_pwm,Output,PIN_181,,,,,
vga_pwr,Output,PIN_23,,,,,
vga_r[4],Output,PIN_174,,,,vga_r[4..0],
vga_r[3],Output,PIN_175,,,,vga_r[4..0],
vga_r[2],Output,PIN_191,,,,vga_r[4..0],
vga_r[1],Output,PIN_187,,,,vga_r[4..0],
vga_r[0],Output,PIN_184,,,,vga_r[4..0],
vga_vsync,Output,PIN_158,,,,,
,Unknown,PIN_180,,,,,
,Unknown,PIN_179,,,,,
,Unknown,PIN_178,,,,,
,Unknown,PIN_177,,,,,
,Unknown,PIN_124,,,,,
,Unknown,PIN_123,,,,,
,Unknown,PIN_121,,,,,
,Unknown,PIN_60,,,,,
,Unknown,PIN_59,,,,,
,Unknown,PIN_58,,,,,
,Unknown,PIN_4,,,,,
,Unknown,PIN_3,,,,,
,Unknown,PIN_2,,,,,
,Unknown,PIN_1,,,,,
,Unknown,PIN_145,,,,,
,Unknown,PIN_32,,,,,
,Unknown,PIN_205,,,,,
,Unknown,PIN_140,,,,,
,Unknown,PIN_42,,,,,
,Unknown,PIN_47,,,,,
,Unknown,PIN_52,,,,,
,Unknown,PIN_135,,,,,
,Unknown,PIN_57,,,,,
,Unknown,PIN_69,,,,,
,Unknown,PIN_77,,,,,
,Unknown,PIN_130,,,,,
,Unknown,PIN_85,,,,,
,Unknown,PIN_216,,,,,
,Unknown,PIN_89,,,,,
,Unknown,PIN_93,,,,,
,Unknown,PIN_96,,,,,
,Unknown,PIN_27,,,,,
,Unknown,PIN_104,,,,,
,Unknown,PIN_112,,,,,
,Unknown,PIN_224,,,,,
,Unknown,PIN_122,,,,,
,Unknown,PIN_125,,,,,
,Unknown,PIN_189,,,,,
,Unknown,PIN_176,,,,,
,Unknown,PIN_5,,,,,
,Unknown,PIN_170,,,,,
,Unknown,PIN_10,,,,,
,Unknown,PIN_232,,,,,
,Unknown,PIN_165,,,,,
,Unknown,PIN_160,,,,,
,Unknown,PIN_16,,,,,
,Unknown,PIN_197,,,,,
,Unknown,PIN_155,,,,,
,Unknown,PIN_37,,,,,
,Unknown,PIN_22,,,,,
,Unknown,PIN_150,,,,,
