"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4001";"Connector_Molex_PicoBlade_53047-0510";1;"53047-0510";;;
2;"J7002";"Connector_Molex_PicoBlade_53047-0410";1;"53047-0310";;;
3;"R2001";"R_1206";1;"0R";;;
4;"C1004,C1003,C7001,C7002,C7005,C7012,C8003,C8004";"C_0805";8;"100n";;;
5;"C7014,C7007,C4001,C4002";"C_1206";4;"1u";;;
6;"R1008,R1009,R1010,R9001,R4006,R8002";"R_0805";6;"47k";;;
7;"R1007,R4004,R4003,R4001,R7008,R7004";"R_0805";6;"10k";;;
8;"D2012,D2011,D2010,D2009,D2008,D2007,D2006,D2005,D2004,D2003,D2013,D2001,D2060,D2051,D2052,D2053,D2002,D2054,D2029,D2016,D2017,D2018,D2019,D2020,D2021,D2028,D2023,D2024,D2025,D2026,D2027,D2032,D2015,D2014,D2022,D2034,D2035,D2036,D2037,D2038,D2039,D2040,D2033,D2042,D2043,D2044,D2045,D2046,D2047,D2048,D2050,D2041,D2049,D2056,D2057,D2058,D2059,D2031,D2061,D2062,D2063,D2064,D2065,D2066,D2067,D2068,D2055,D2030";"D_MiniMELF_Standard";68;"1N4148";;;
9;"C1002,C1001";"C_0805";2;"C";;;
10;"R1005,R7003,R7007,R7005";"R_0805";4;"100k";;;
11;"U1002";"SOT89-3_Housing";1;"L78L33ACUTR";;;
12;"C4007,C4004";"TantalC_SizeD_EIA-7343_Reflow";2;"100u";;;
13;"L4002";"Choke_SMD_6.3x6.3_H3";1;"10u";;;
14;"L4001";"Choke_SMD_6.3x6.3_H3";1;"8u2";;;
15;"C9001,C4003,C4009";"C_1206";3;"10u";;;
16;"Y5001";"Crystal_Watch";1;"32768 Hz";;;
17;"D8001";"LED-3MM";1;"LED_SD";;;
18;"D1001";"LED-3MM";1;"LED_PWR";;;
19;"D4003";"LED-5MM-3";1;"SSL-LX3059IGW-CA";;;
20;"R8003,R1006";"R_0805";2;"1k";;;
21;"Q8001";"SOT-23";1;"BSS84LT1G";;;
22;"R4005";"R_1812";1;"0R05";;;
23;"C7004,C7008,C7015";"c_elec_8x6.7";3;"220u";;;
24;"C7003,C7011";"c_elec_6.3x5.8";2;"10u";;;
25;"C4011,C4010";"c_elec_6.3x5.8";2;"100u";;;
26;"L4003";"Choke_SMD_12x12mm_h6mm";1;"47u";;;
27;"Q4001";"SOT-23";1;"IRLML2244TRPbF";;;
28;"R1003,R1004,R1002,R1001";"R_0805";4;"R";;;
29;"RP2001";"R_Cat16-4";1;"10k";;;
30;"CONN9001";"10056847-XY1LF";1;"10056847-XY1LF";;;
31;"U1001";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATTINY48-A";;;
32;"R4013";"R_0805";1;"13.3k";;;
33;"R4009";"R_0805";1;"412k";;;
34;"R4008";"R_0805";1;"51k";;;
35;"R4007";"R_0805";1;"626k";;;
36;"R4002";"R_0805";1;"330k";;;
37;"R4012";"R_0805";1;"270k";;;
38;"C7006,C7013,C8002";"C_0805";3;"1u";;;
39;"C7016,C7009";"C_0805";2;"1n";;;
40;"C7010,C7017";"C_0805";2;"47n";;;
41;"U7002,U7001";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"LM386";;;
42;"U7003,U7004";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"MCP4011";;;
43;"R7009,R7006";"R_0805";2;"10";;;
44;"J7001";"FCR1295";1;"FCR1295";;;
45;"CON8001";"TS-2198-01";1;"SD_Card";;;
46;"CON4001";"JACK_ALIM";1;"BARREL_JACK";;;
47;"C4008";"C_0805";1;"120p";;;
48;"C4005";"C_0805";1;"680n";;;
49;"C4006";"C_1206";1;"2.2u";;;
50;"D4006";"D_MiniMELF_Standard";1;"1n4148";;;
51;"D4007";"D_SOD-323";1;"NSR0530HT1G";;;
52;"D4005,D4001,D4008,D4002";"D_TUMD2";4;"RBE2VA20ATR";;;
53;"U4001";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"AP1509";;;
54;"U4003";"MSOP-12-1EP_3x4mm_Pitch0.65mm";1;"LT3652";;;
55;"U4002";"SOT-23-5";1;"LM27313";;;
56;"C5001,C5002";"C_0603";2;"22p";;;
57;"U5001";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP7940N";;;
58;"SW1001";"SMD-TACT-5.2x5.2x2mm";1;"Power";;;
59;"U3001";"PSPNUB";1;"PSPNUB";;;
60;"SW2069,SW2065";"SMD-TACT-5.2x5.2x2mm";2;"SPACE";;;
61;"P1002";"Socket_Strip_Straight_1x04";1;"Power";;;
62;"P1001";"Socket_Strip_Straight_1x29";1;"Peripheral Bus";;;
63;"U2003";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"74HC00";;;
64;"U2001,U2002";"SOIC-16_3.9x9.9mm_Pitch1.27mm";2;"4017";;;
65;"SW2001";"SMD-TACT-5.2x5.2x2mm";1;"1";;;
66;"SW2002";"SMD-TACT-5.2x5.2x2mm";1;"2";;;
67;"SW2003";"SMD-TACT-5.2x5.2x2mm";1;"3";;;
68;"SW2004";"SMD-TACT-5.2x5.2x2mm";1;"4";;;
69;"SW2005";"SMD-TACT-5.2x5.2x2mm";1;"5";;;
70;"SW2006";"SMD-TACT-5.2x5.2x2mm";1;"6";;;
71;"SW2007";"SMD-TACT-5.2x5.2x2mm";1;"7";;;
72;"SW2009";"SMD-TACT-5.2x5.2x2mm";1;"9";;;
73;"SW2035";"SMD-TACT-5.2x5.2x2mm";1;"A";;;
74;"SW2010";"SMD-TACT-5.2x5.2x2mm";1;"0";;;
75;"SW2011";"SMD-TACT-5.2x5.2x2mm";1;"+";;;
76;"SW2012";"SMD-TACT-5.2x5.2x2mm";1;"´";;;
77;"SW2013";"SMD-TACT-5.2x5.2x2mm";1;"BKSP";;;
78;"SW2014";"SMD-TACT-5.2x5.2x2mm";1;"TROLL";;;
79;"SW2015";"SMD-TACT-5.2x5.2x2mm";1;"§";;;
80;"SW2008";"SMD-TACT-5.2x5.2x2mm";1;"8";;;
81;"SW2016";"SMD-TACT-5.2x5.2x2mm";1;"UP";;;
